Feature,Importance
DeferredTaxAssetsOperatingLossCarryforwards_change,0.0023487632
CashAndCashEquivalentsPeriodIncreaseDecrease_change,0.0023451576
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,0.002339052
DeferredTaxAssetsValuationAllowance_change,0.0023375277
DeferredTaxLiabilities_change,0.0023348911
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_lag1,0.0023316136
IncreaseDecreaseInAccountsReceivable_lag1,0.0023306613
RepaymentsOfLongTermDebtAndCapitalSecurities_change,0.002328818
IncreaseDecreaseInAccountsPayable_lag1,0.0023278464
PreferredStockSharesAuthorized,0.0023238994
CommonStockSharesAuthorized_change,0.0023192351
PreferredStockSharesAuthorized_change,0.0023190274
GoodwillAndIntangibleAssetImpairment_change,0.002318401
IncreaseDecreaseInReceivables_lag1,0.0023182356
LiabilitiesCurrent,0.0023131457
IncreaseDecreaseInAccountsAndNotesReceivable,0.0023108933
PaymentsForRepurchaseOfEquity_lag1,0.002304901
AccumulatedOtherComprehensiveIncomeLossNetOfTax_change,0.0022969954
RestructuringSettlementAndImpairmentProvisions_lag1,0.0022896405
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest_lag1,0.0022854973
AccountsPayableAndAccruedLiabilitiesCurrent_change,0.0022850542
ProceedsFromRepaymentsOfShortTermDebt,0.0022846977
CurrentFederalStateAndLocalTaxExpenseBenefit_change,0.0022834248
StockIssuedDuringPeriodSharesPeriodIncreaseDecrease_change,0.0022772956
PaymentsToAcquireProductiveAssets_lag1,0.0022764737
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,0.0022756972
InterestPaidNet,0.002270794
DeferredIncomeTaxesAndTaxCredits_change,0.0022698664
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,0.002266507
OtherAssetsNoncurrent_lag1,0.0022645623
PaymentsOfOrdinaryDividends_change,0.0022640857
InterestPaidNet_change,0.0022584079
IncreaseDecreaseInAccountsPayable,0.0022536642
IncreaseDecreaseInOtherOperatingAssets_lag1,0.002252491
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour_change,0.0022487948
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,0.0022430487
DeferredTaxLiabilitiesPropertyPlantAndEquipment_change,0.0022428955
DeferredTaxLiabilities_lag1,0.0022424336
SellingAndMarketingExpense_lag1,0.0022289283
OperatingCostsAndExpenses_change,0.0022253369
IntangibleAssetsNetExcludingGoodwill,0.0022238877
CommonStockValue_change,0.0022180637
DeferredIncomeTaxLiabilities_change,0.002217781
StockholdersEquityPeriodIncreaseDecrease_lag1,0.0022110757
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,0.002210574
PaymentsOfFinancingCosts_change,0.0022064878
ReceivablesNetCurrent_lag1,0.0022044634
InvestmentIncomeNonoperating,0.0022005618
IncreaseDecreaseInOtherOperatingAssets_missing,0.0021993944
LongTermInvestmentsAndReceivablesNet,0.0021943678
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue_lag1,0.0021810695
DeferredIncomeTaxLiabilities_missing,0.0021787982
PaymentsToAcquirePropertyPlantAndEquipment_change,0.0021652593
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax_change,0.0021638693
LiabilitiesOtherThanLongtermDebtNoncurrent,0.0021620763
ProceedsFromStockOptionsExercised_change,0.0021520497
NetCashProvidedByUsedInInvestingActivities_lag1,0.0021514038
RepaymentsOfLongTermDebt_change,0.002151163
TaxesPayableCurrent_change,0.0021499684
OperatingLeasesRentExpenseNet_change,0.002148137
NonoperatingIncomeExpense,0.0021469195
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities_lag1,0.0021468147
IncreaseDecreaseInOperatingAssets_change,0.0021456927
OperatingExpenses,0.0021435912
AllowanceForDoubtfulAccountsReceivableCurrent_change,0.0021419963
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.002136657
ProceedsFromRepaymentsOfShortTermDebt_change,0.0021351
CostOfGoodsAndServicesSold,0.0021326097
CurrentIncomeTaxExpenseBenefit_lag1,0.0021323822
IncreaseDecreaseInAccruedLiabilities,0.0021286437
NetCashProvidedByUsedInInvestingActivities_change,0.0021221587
OperatingLeasesFutureMinimumPaymentsDueThereafter,0.0021181917
TreasuryStockShares_change,0.0021168175
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_change,0.0021164247
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_lag1,0.0021148408
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0021137514
CashAndCashEquivalentsAtCarryingValue,0.0021120198
AccruedLiabilitiesCurrent,0.002110752
PaymentsForProceedsFromBusinessesAndInterestInAffiliates_change,0.0021065099
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,0.0021030211
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_lag1,0.0021023578
CashAndCashEquivalentsPeriodIncreaseDecrease_lag1,0.0021010228
OperatingIncomeLoss_change,0.002100969
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,0.002096837
StockIssuedDuringPeriodSharesStockOptionsExercised_lag1,0.0020958325
StockIssuedDuringPeriodSharesStockOptionsExercised,0.0020955729
PaymentsOfDividends_change,0.0020936935
IncomeTaxesPaidNet_lag1,0.0020929906
ResearchAndDevelopmentExpense_change,0.002084712
StockIssuedDuringPeriodSharesPeriodIncreaseDecrease_lag1,0.0020840566
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths_change,0.0020821507
IncreaseDecreaseInInventories_change,0.002082099
IncreaseDecreaseInOtherOperatingAssets,0.0020811441
PaymentsToAcquireBusinessesAndInterestInAffiliates,0.0020770633
RestructuringCostsAndAssetImpairmentCharges,0.0020755616
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,0.0020737296
PropertyPlantAndEquipmentNet,0.002073643
InterestPaid_change,0.0020588955
CurrentStateAndLocalTaxExpenseBenefit,0.002057565
OtherComprehensiveIncomeLossNetOfTax,0.0020548592
DeferredForeignIncomeTaxExpenseBenefit_lag1,0.0020512291
DeferredTaxAssetsNet_lag1,0.0020500976
StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,0.0020462947
