Feature,Importance
EPS_change,0.018300576
USA_business_confidence_lag1,0.018004237
ComprehensiveIncomeNetOfTax,0.017385188
EPS_moving_average_change,0.0118640065
USA_business_confidence_change,0.011307973
LiabilitiesOtherThanLongtermDebtNoncurrent_change,0.010423129
EPS,0.010349962
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0100274645
EPS_lag1,0.009758207
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges_change,0.008436599
EPS_moving_average_lag1,0.0079216445
pre_covid,0.007518856
USA_business_confidence,0.007493749
ProfitLoss_change,0.0074350033
G20_business_confidence,0.0071839704
time_elapsed,0.0071371654
CommonStockSharesAuthorized_lag1,0.0069111385
G20_business_confidence_lag1,0.0068912636
Liabilities_change,0.006623893
WeightedAverageNumberOfDilutedSharesOutstanding,0.0064602587
IncreaseDecreaseInOperatingLiabilities,0.006237476
CurrentFederalStateAndLocalTaxExpenseBenefit_lag1,0.006205388
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.006110356
CurrentFederalStateAndLocalTaxExpenseBenefit,0.005871977
EmployeeBenefitsAndShareBasedCompensationNoncash,0.0057728444
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_change,0.005764177
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_lag1,0.00568101
EPS_moving_average,0.00525544
IncomeTaxExpenseBenefit,0.0050426573
DeferredTaxAssetsValuationAllowance_lag1,0.0046922597
OperatingLeasesFutureMinimumPaymentsDueInTwoYears_lag1,0.0045264787
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_change,0.0045242608
CommonStockValue_change,0.0045141755
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,0.0045129443
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,0.004502839
ProfitLoss_lag1,0.004462395
LongTermDebtCurrent,0.004430684
Assets,0.004396766
InvestmentIncomeNet_change,0.004380942
IncomeTaxExpenseBenefit_change,0.0043776985
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.004331685
EmployeeRelatedLiabilitiesCurrent_change,0.0042496924
CommonStockSharesAuthorized,0.004177057
EmployeeRelatedLiabilitiesCurrent,0.004158771
CostOfGoodsAndServicesSold,0.0041573592
IncomeTaxExpenseBenefit_lag1,0.004048105
ShareBasedCompensation_lag1,0.0040418277
ComprehensiveIncomeNetOfTax_change,0.004015394
AssetsNoncurrent,0.0039955736
DeferredForeignIncomeTaxExpenseBenefit,0.003983382
OperatingExpenses_change,0.0039669764
CurrentIncomeTaxExpenseBenefit,0.0039060228
StockholdersEquityPeriodIncreaseDecrease,0.0039013328
OperatingIncomeLoss_lag1,0.0038704565
CommonStockSharesAuthorized_change,0.0038559544
RestructuringSettlementAndImpairmentProvisions_lag1,0.0038364858
AssetImpairmentCharges_change,0.0038336336
IncreaseDecreaseInAccountsPayable,0.0038155399
RepaymentsOfLongTermDebtAndCapitalSecurities_change,0.0038009754
ReceivablesNetCurrent,0.00375565
DeferredTaxAssetsOperatingLossCarryforwards_lag1,0.0037536088
AccountsPayableAndAccruedLiabilitiesCurrent,0.0037513599
LiabilitiesNoncurrent_lag1,0.0037475477
AssetsNoncurrent_change,0.0037236738
RetainedEarningsAccumulatedDeficit_lag1,0.0037125547
NetCashProvidedByUsedInOperatingActivities_lag1,0.0037033032
LongTermDebtAndCapitalLeaseObligationsCurrent,0.0036509768
OperatingCostsAndExpenses_change,0.0036486592
PaymentsForRepurchaseOfCommonStock_missing,0.003634469
CashCashEquivalentsAndShortTermInvestments_lag1,0.003587116
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_change,0.0035553654
StockholdersEquityPeriodIncreaseDecrease_lag1,0.0035547772
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.0035397396
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0.003531449
LiabilitiesCurrent_change,0.0034643349
IncreaseDecreaseInAccruedLiabilities,0.0034193343
PaymentsForRepurchaseOfEquity_lag1,0.0034091426
Revenues,0.0033726245
DeferredTaxAssetsOperatingLossCarryforwards,0.0033548938
InterestPaidNet_change,0.0033049867
AccountsPayableAndAccruedLiabilitiesCurrent_lag1,0.0033024107
IncreaseDecreaseInOperatingCapital,0.003268744
AdditionalPaidInCapital,0.0032669385
OperatingLeasesFutureMinimumPaymentsDueCurrent_change,0.0032575368
DeferredTaxLiabilities_lag1,0.0032537254
AdditionalPaidInCapitalCommonStock_change,0.003248703
CommonStockSharesOutstanding_change,0.0032341916
Goodwill,0.0031911174
PaymentsForRepurchaseOfCommonStock,0.0031841341
LongTermDebtNoncurrent,0.003158211
WeightedAverageNumberOfSharesOutstandingBasic_lag1,0.0031510633
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_change,0.003141523
AdditionalPaidInCapitalCommonStock_lag1,0.0031362805
DeferredTaxAssetsValuationAllowance,0.0031076209
DeferredTaxLiabilitiesPropertyPlantAndEquipment_lag1,0.0031026625
DeferredFederalStateAndLocalTaxExpenseBenefit,0.0030930724
OtherLiabilitiesNoncurrent_change,0.0030572799
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax_change,0.0030387181
Assets_change,0.0030356585
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions_change,0.0030197566
IncomeTaxReconciliationStateAndLocalIncomeTaxes,0.0030135799
IncreaseDecreaseInAccountsReceivable_lag1,0.003011258
RestructuringCostsAndAssetImpairmentCharges,0.0029933855
LiabilitiesOtherThanLongtermDebtNoncurrent,0.0029822057
PrepaidExpenseAndOtherAssetsCurrent,0.0029804448
CommonStockSharesIssued_change,0.0029789072
AccountsPayableAndAccruedLiabilitiesCurrent_change,0.0029783542
AccumulatedOtherComprehensiveIncomeLossNetOfTax_change,0.0029692121
StockIssuedDuringPeriodSharesPeriodIncreaseDecrease_change,0.002966499
SellingAndMarketingExpense,0.00293378
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_lag1,0.0029238218
AssetImpairmentCharges,0.0029031732
AllowanceForDoubtfulAccountsReceivableCurrent_change,0.002901239
CashAndCashEquivalentsPeriodIncreaseDecrease,0.0028897258
PaymentsOfDividends_change,0.0028892562
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,0.0028724025
PreferredStockSharesAuthorized,0.002868285
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_lag1,0.0028620844
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_change,0.002862055
AccountsPayableCurrent_lag1,0.002861552
IncreaseDecreaseInOperatingLiabilities_change,0.0028593852
PaymentsOfOrdinaryDividends_change,0.0028513123
OperatingLeasesFutureMinimumPaymentsDueThereafter,0.0028304681
IncreaseDecreaseInOtherOperatingAssets_lag1,0.0028259512
StockIssuedDuringPeriodSharesStockOptionsExercised,0.0028238802
DeferredTaxAssetsGross,0.0028082815
LiabilitiesCurrent,0.002796601
DepreciationDepletionAndAmortization_change,0.0027957098
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.0027893488
DebtCurrent,0.0027864522
PaymentsToAcquirePropertyPlantAndEquipment_change,0.002785806
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,0.002782455
DeferredIncomeTaxesAndTaxCredits_change,0.002764876
OtherComprehensiveIncomeLossNetOfTax_change,0.0027646502
OperatingIncomeLoss_change,0.0027397834
StockIssuedDuringPeriodSharesStockOptionsExercised_lag1,0.0027359524
