Feature,Importance
ComprehensiveIncomeNetOfTax,0.015276181
EPS_change,0.011653858
USA_business_confidence_lag1,0.009583502
EPS,0.0066904947
USA_business_confidence_change,0.006181841
EPS_moving_average_change,0.0052803983
pre_covid,0.0051744264
time_elapsed,0.0051083933
G20_business_confidence_lag1,0.00496931
LiabilitiesNoncurrent_lag1,0.0049554775
EPS_lag1,0.004893054
EPS_moving_average_lag1,0.0046753106
CommonStockSharesIssued_lag1,0.00464954
Liabilities_change,0.0045374907
LongTermDebtCurrent,0.004531803
USA_business_confidence,0.0044602817
CommonStockSharesAuthorized_lag1,0.004417065
G20_business_confidence,0.0043608146
ProfitLoss_lag1,0.004068442
WeightedAverageNumberOfDilutedSharesOutstanding,0.0040415428
IncreaseDecreaseInOperatingLiabilities,0.0039510215
CurrentFederalStateAndLocalTaxExpenseBenefit,0.00376857
LiabilitiesOtherThanLongtermDebtNoncurrent_change,0.0037293544
StockholdersEquityPeriodIncreaseDecrease_lag1,0.0036951085
ProfitLoss_change,0.0035398635
AssetsCurrent_lag1,0.0034896564
CommonStockSharesIssued,0.0034198528
EPS_moving_average,0.003291244
OperatingLeasesFutureMinimumPaymentsDueInTwoYears_lag1,0.0032282423
LongTermDebtCurrent_lag1,0.0032134582
IncreaseDecreaseInReceivables,0.0031510855
Assets,0.003110199
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.0030724548
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,0.0030287232
EmployeeRelatedLiabilitiesCurrent,0.0030023449
InterestAndDebtExpense,0.002981776
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_change,0.0029761489
DeferredTaxAssetsValuationAllowance_lag1,0.0028996244
NetCashProvidedByUsedInOperatingActivities_lag1,0.002825507
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax_change,0.002799784
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_lag1,0.0027732786
AssetsCurrent,0.0027603307
CommonStockValue_change,0.0027589598
CommonStockSharesAuthorized,0.0027421038
IncreaseDecreaseInOperatingCapital,0.0027207993
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges_change,0.002709813
DeferredTaxLiabilitiesOther_lag1,0.0027029566
StockIssuedDuringPeriodSharesStockOptionsExercised_lag1,0.0026204158
PreferredStockSharesAuthorized_lag1,0.0025748087
AssetImpairmentCharges_change,0.0024914234
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,0.0024776577
AssetsNoncurrent,0.0024404083
EmployeeRelatedLiabilitiesCurrent_change,0.002437509
OperatingIncomeLoss_change,0.0024333305
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.002431182
