param_C,param_class_weight,param_max_iter,param_solver,mean_test_score,std_test_score,rank_test_score
0.34488521115218396,balanced,100,saga,0.6457375771636406,0.05978172317824944,1
0.6515159298527952,balanced,100,saga,0.6456719426777626,0.05967453488904998,2
2.188642195730702,balanced,100,saga,0.6455945165724638,0.059576944030047464,3
1.7602525267734537,balanced,100,saga,0.6455914055829564,0.0595767530607017,4
4.198808564462765,balanced,100,saga,0.6455879501441317,0.05956491709065803,5
3.0579701928718186,balanced,100,saga,0.6455872696342998,0.05957622753941084,6
4.424522297311045,balanced,100,saga,0.6455855744912044,0.059561724622906306,7
4.853798742763157,balanced,100,saga,0.64558394180679,0.059560634962872006,8
5.553008115994624,balanced,100,saga,0.6455767829170588,0.05955805221817194,9
5.633882178455393,balanced,100,saga,0.6455759901722592,0.05955911188722017,10
5.909332605690108,balanced,100,saga,0.6455751795821222,0.059556339488644944,11
8.070129770507794,balanced,100,saga,0.6455728128518635,0.059555062929113986,12
8.871864242651172,balanced,100,saga,0.6455720316112041,0.059551667089476124,13
9.869869366005172,balanced,100,saga,0.6455696661716811,0.05954720489645439,14
9.133405525564713,balanced,100,saga,0.6455688632134772,0.05954953420269885,15
0.8097296661719767,,100,saga,0.6425080686778278,0.05730720698154397,16
0.945429607559284,,100,saga,0.6425031503102574,0.05728323557506799,17
1.032238688359326,,100,saga,0.6424951540623829,0.0572725707209768,18
1.0799142699330444,,100,saga,0.6424942860640263,0.05726845640307065,19
0.31413292455558584,balanced,200,saga,0.6401718003892676,0.05522156529637715,20
1.8233608778806232,balanced,200,saga,0.6398245308692622,0.05495482962677293,21
2.2865002179729967,balanced,200,saga,0.6398028360713307,0.05493680756085057,22
2.8402097473746566,balanced,200,saga,0.6397949520584238,0.05493564596114541,23
3.1907563029376127,balanced,200,saga,0.6397901331309451,0.054928958391058616,24
3.380951568515358,balanced,200,saga,0.6397829933772871,0.054927059057907235,25
4.742738290873253,balanced,200,saga,0.6397813071568603,0.05491501380868009,26
7.107628896857874,balanced,200,saga,0.6397742707155013,0.054920816193995234,27
7.220987722668248,balanced,200,saga,0.6397734779707017,0.054921899499665756,28
9.492457315913859,balanced,200,saga,0.6397710538322237,0.05491898528896464,29
3.6372960237929397,,200,saga,0.6367809645234264,0.05185373910619615,30
3.976720210875223,,200,saga,0.6367785684436901,0.05185340518896189,31
5.248746602583892,,200,saga,0.6367728956034663,0.05183226432800293,32
4.3395164923797305,,200,saga,0.6367721666080834,0.05184283009466735,33
0.33150732900548385,balanced,100,liblinear,0.636188876815504,0.05309395589406256,34
0.4781612769164879,balanced,500,liblinear,0.6359711459981326,0.05317139075757862,35
0.517817211686077,balanced,500,liblinear,0.6358034731671983,0.05326398364537438,36
0.705161308495439,balanced,200,liblinear,0.6354655129079276,0.053172375395235796,37
1.3762094414599324,balanced,100,liblinear,0.635435168349177,0.05296309282864827,38
0.9777211400638387,balanced,1000,liblinear,0.6354022021940072,0.053302456789348765,39
1.0008488716186337,balanced,1000,liblinear,0.6353941663832509,0.05329576170141093,40
0.9425698826856012,balanced,1000,liblinear,0.6353456078262638,0.053262720535459,41
1.5514161672774418,balanced,2000,saga,0.6352391977196304,0.05282087315554206,42
1.3845309241780135,balanced,2000,saga,0.6352346172352172,0.05284486547545398,43
2.396618906669724,balanced,2000,saga,0.6352170740711938,0.05284705435415435,44
3.267512417960409,balanced,2000,saga,0.6352160580347134,0.05285381693648845,45
4.70044513990943,balanced,2000,saga,0.6351818262923387,0.05280085624247407,46
7.7651296074199685,balanced,2000,saga,0.6351689537087659,0.05278445667135765,47
1.613212872540044,balanced,200,liblinear,0.6351589375484986,0.05270414859762546,48
6.833635188254583,balanced,2000,saga,0.6351531396663918,0.052800514945893856,49
1.6303442708142968,balanced,200,liblinear,0.6351393168554001,0.052691908787881665,50
2.185404372168336,balanced,500,saga,0.6347756516986177,0.05117233255176682,51
2.9224464853521814,balanced,500,saga,0.6347686694396187,0.0511430230915758,52
3.493095746126609,balanced,500,saga,0.6347629111324335,0.05111864442196205,53
3.747126146264712,balanced,500,saga,0.6347485691664363,0.05110216560440643,54
9.36254774160781,balanced,500,saga,0.6347431622961129,0.05104717961005585,55
8.672989335550037,balanced,500,saga,0.6347376424319936,0.051053763349446946,56
6.690882547142286,balanced,500,saga,0.634730706721462,0.05107223295024888,57
5.75574177875879,balanced,500,saga,0.6347299254808024,0.05106852865252494,58
4.992933798847523,balanced,500,saga,0.6347244910836444,0.05107829364997771,59
