param_alpha,param_booster,param_colsample_bytree,param_gamma,param_lambda,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_objective,param_subsample,mean_test_score,std_test_score,rank_test_score
18.27094128700746,gbtree,0.8168836917467422,0.9564333839306678,59.36911369156867,0.04775278851728622,4,49,1055,binary:logistic,0.7527348848679197,0.7074311007332993,0.035716211249151815,1
18.920546690899783,gbtree,0.5468482415802216,0.5683598241349864,48.39115771586081,0.03612714787260104,3,34,986,binary:logistic,0.7340598129301887,0.7073983615430679,0.03343482182070256,2
20.536788571650803,gbtree,0.7322256191878195,0.5253079192310934,52.23636231378744,0.029693020521496374,4,32,710,binary:logistic,0.5072301454462084,0.7028219797924017,0.03381919319132535,3
20.76579342388018,gbtree,0.7962583021070814,1.137443311659912,62.87792807521653,0.04087829146007991,3,44,873,binary:logistic,0.7889010273572266,0.7023248998323098,0.03339180510057869,4
19.88586367724423,gbtree,0.5581754011682385,1.584045532932456,58.252227607774344,0.049812411876321676,4,32,1020,binary:logistic,0.5181785521365831,0.7017872133876207,0.03369445232169394,5
26.379931041147522,gbtree,0.780998707009304,0.5231601150230143,60.00746272610149,0.02291759121159245,3,40,935,binary:logistic,0.6862800489275253,0.701597662563281,0.0328215453120877,6
24.966161605915286,gbtree,0.8178930600883287,1.697809453334862,51.52026924410504,0.027025374212490336,4,35,965,binary:logistic,0.7370786895517574,0.6998067770136607,0.032748127784447634,7
20.02133315831788,gbtree,0.6293790596214915,1.7107996913871295,81.1412890370953,0.02616352855007173,4,35,1060,binary:logistic,0.5361159080217633,0.6990376845583138,0.032519683324216696,8
18.283841119185478,gbtree,0.6640312246979442,0.7815163784091868,50.34680623206324,0.01028868110496972,3,36,550,binary:logistic,0.7724157708387636,0.6989384150962673,0.02823249702072423,9
20.772270520295784,gbtree,0.6537677756530196,1.508596011676981,85.30936180530837,0.026391660043195028,3,33,1034,binary:logistic,0.59971689165955,0.6986765007561759,0.03255880171236725,10
26.063769105965015,gbtree,0.797034428223636,1.183106657210144,76.90099486095534,0.02987689896085585,4,32,957,binary:logistic,0.8652962210225885,0.6978399753796013,0.03290355113156916,11
21.67683702322595,gbtree,0.824305668806523,2.960581465397691,56.62099747345313,0.02566110903072176,4,35,602,binary:logistic,0.6389653632901657,0.6973104863752658,0.027330300813593708,12
19.021715406661972,gbtree,0.5591272720752576,1.8929516951597931,52.965471792453606,0.008991614019067503,3,34,782,binary:logistic,0.6423965937087944,0.6968306417615243,0.027368348158790856,13
26.16628104490102,gbtree,0.7897541513256561,1.8577145790987095,88.43633236758464,0.025576932272617786,4,42,899,binary:logistic,0.7162540486440426,0.696391324168296,0.030652628153223824,14
33.437037740692915,gbtree,0.7140786061708984,0.535331526098587,46.037809126863706,0.028614859711627513,3,39,1025,binary:logistic,0.8895022075365837,0.6959742073464446,0.0338352524515402,15
20.519450034435668,gbtree,0.5063776389780424,0.972214803779642,75.73530480373606,0.008203489180710304,4,39,967,binary:logistic,0.6042778112943612,0.6950487743545066,0.0271920684739334,16
26.563106429463584,gbtree,0.5795728440604955,2.6179843121024144,57.95683274140767,0.03267276184186945,4,42,759,binary:logistic,0.7445816941738591,0.694980751179905,0.029544084108441452,17
27.432104077615566,gbtree,0.5070249192222043,2.1103958279158914,54.51516031484451,0.019737380848006157,4,46,1074,binary:logistic,0.7374369814216195,0.6949552907682834,0.027788374293020755,18
23.228269776962854,gbtree,0.7028774770651084,2.207816052282725,69.17685375213316,0.025705362154260742,4,40,923,binary:logistic,0.7790670294787727,0.6947978558344382,0.032045621171956716,19
33.02787529358022,gbtree,0.7478254022286159,0.6029224714790122,88.64594334728974,0.042459918836018976,4,31,741,binary:logistic,0.896884623716487,0.6937228802165096,0.03326938663612481,20
23.73486864262374,gbtree,0.5930782737374837,2.3017254760263413,56.69774382844182,0.025395838107297397,3,46,750,binary:logistic,0.6238110465145311,0.6934182087437142,0.030308693008394047,21
24.868044824751603,gbtree,0.6964351990466954,2.414634373768949,88.72704429250967,0.04320112209197377,3,43,942,binary:logistic,0.784265155874315,0.6928947181065038,0.031212856820091766,22
31.00170052944527,gbtree,0.6913485977701479,1.4242722776276353,88.63130824940514,0.03988097705125015,4,39,819,binary:logistic,0.7909087983425684,0.6926471811323817,0.032261055173997695,23
26.4403792850907,gbtree,0.8300183963693817,2.116014660103776,68.34557797845147,0.036635853150283,3,46,991,binary:logistic,0.8849789179768446,0.6926428897690132,0.03428134167238727,24
28.412748696759156,gbtree,0.8091480906216039,2.12172510502637,50.4939579615303,0.02103340271346387,4,30,934,binary:logistic,0.5911740650167767,0.6919588941460999,0.026509787028554735,25
18.633768585386438,gbtree,0.8369269451372737,4.6799006025610295,76.3188392742164,0.023402882498642145,4,30,645,binary:logistic,0.7196906658824482,0.6919024286020855,0.028257773987708866,26
31.536199345689145,gbtree,0.7435245397707788,1.6427501089864984,52.87297171931713,0.049197575449824595,4,46,551,binary:logistic,0.8985014799031698,0.6918706526229018,0.034080425581357834,27
20.544561815510093,gbtree,0.5535006987145162,1.7297886419225406,52.23066179668,0.01339551608230876,4,38,792,binary:logistic,0.5072969925713444,0.6918545188763486,0.028758648051744502,28
