Feature,Importance
IncreaseDecreaseInOtherOperatingAssets_lag1,0.0035329547
LiabilitiesCurrent,0.0035160624
DeferredTaxAssetsGross_change,0.0035133462
DebtCurrent,0.0035126444
Dividends_change,0.0035070595
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0.0035007333
AssetsCurrent,0.0034956224
DeferredTaxAssetsGross_lag1,0.0034907882
CurrentStateAndLocalTaxExpenseBenefit,0.003489785
DeferredIncomeTaxExpenseBenefit,0.003476704
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,0.0034716271
EmployeeBenefitsAndShareBasedCompensationNoncash,0.0034614254
IncreaseDecreaseInAccountsPayable_lag1,0.003459264
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,0.0034523471
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_lag1,0.0034389012
CommonStockSharesAuthorized_change,0.003436722
IncomeTaxExpenseBenefit_change,0.0034263998
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest_lag1,0.003418844
NonoperatingIncomeExpense,0.0034122947
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,0.0033941208
ProceedsFromRepaymentsOfLongTermDebtAndCapitalSecurities_change,0.0033899979
OperatingIncomeLoss_lag1,0.0033671213
IncreaseDecreaseInAccountsPayable,0.0033641194
OtherAssetsNoncurrent_change,0.003357201
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_change,0.003350494
CurrentFederalStateAndLocalTaxExpenseBenefit_lag1,0.003336354
StockIssuedDuringPeriodSharesStockOptionsExercised,0.003333274
PaymentsToAcquirePropertyPlantAndEquipment,0.0033321516
IncreaseDecreaseInOperatingLiabilities_lag1,0.0033218514
OtherLiabilitiesNoncurrent_lag1,0.0033148332
DeferredStateAndLocalIncomeTaxExpenseBenefit,0.003291196
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue_lag1,0.0032905212
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_lag1,0.0032899978
EmployeeRelatedLiabilitiesCurrent_lag1,0.0032841219
LiabilitiesNoncurrent,0.0032805386
LiabilitiesOtherThanLongtermDebtNoncurrent,0.0032725532
PaymentsOfDividends_change,0.0032700927
InterestPaidNet_change,0.0032471071
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,0.0032402747
AdditionalPaidInCapitalCommonStock_lag1,0.0032348363
RestructuringSettlementAndImpairmentProvisions_lag1,0.003233665
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_change,0.0032305587
IncreaseDecreaseInOperatingLiabilities_change,0.0032261605
DeferredTaxLiabilities,0.0032219912
LiabilitiesNoncurrent_change,0.0032143593
OperatingLeasesFutureMinimumPaymentsDue_change,0.003214284
CashCashEquivalentsAndShortTermInvestments_lag1,0.003212341
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments_change,0.0032053266
DeferredIncomeTaxesAndTaxCredits_change,0.0032033166
AccountsPayableCurrent_lag1,0.0032000032
WeightedAverageNumberDilutedSharesOutstandingAdjustment_lag1,0.0031903232
OperatingCostsAndExpenses,0.0031835865
DeferredIncomeTaxLiabilities_change,0.0031810729
ReceivablesNetCurrent_lag1,0.0031728738
OperatingLeasesFutureMinimumPaymentsDueThereafter,0.0031674309
NonoperatingIncomeExpense_change,0.0031660222
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,0.0031639554
DeferredTaxAssetsValuationAllowance,0.0031609796
DepreciationAndAmortization_lag1,0.003160722
PaymentsForProceedsFromBusinessesAndInterestInAffiliates_change,0.0031545449
LongTermDebtNoncurrent,0.0031492747
IncreaseDecreaseInAccountsAndNotesReceivable,0.003140414
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_lag1,0.0031050243
OtherComprehensiveIncomeLossNetOfTax_change,0.0030982774
AllowanceForDoubtfulAccountsReceivableCurrent_change,0.0030951083
CommonStockSharesAuthorized,0.0030905881
IncomeTaxReconciliationStateAndLocalIncomeTaxes,0.0030582373
StockIssuedDuringPeriodSharesStockOptionsExercised_lag1,0.0030457652
IncreaseDecreaseInReceivables_lag1,0.0030450977
PropertyPlantAndEquipmentNet,0.0030334925
DeferredTaxAssetsGross,0.0030270338
Assets_change,0.0030217478
IncreaseDecreaseInAccountsReceivable_change,0.0030166528
PaymentsToAcquireProductiveAssets_lag1,0.0030048531
DeferredTaxAssetsOther_lag1,0.0029882353
TreasuryStockShares_lag1,0.002985384
LiabilitiesCurrent_lag1,0.0029851065
Dividends,0.002984355
InvestmentIncomeNonoperating,0.002983651
GeneralAndAdministrativeExpense_lag1,0.0029757302
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.0029741437
LongTermDebtCurrent,0.0029676934
OperatingLeasesFutureMinimumPaymentsDueInFourYears_change,0.0029653935
StockholdersEquityPeriodIncreaseDecrease_lag1,0.00296042
AssetsCurrent_lag1,0.0029476425
AdditionalPaidInCapital_lag1,0.0029378901
DeferredIncomeTaxesAndTaxCredits_lag1,0.0029346896
